,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
1243,20200522,IC2006,5354,5337,5354,5251.8,5267.8,5280.6,102163,10824946.52,122558,2.414992626,0,0,
1244,20200525,IC2006,5280.6,5266,5296,5235.2,5254.6,5249.6,80064,8427448.076,115885,2.414992626,0,0,
1245,20200526,IC2006,5249.6,5283.4,5355,5275.2,5343.6,5339.4,81740,8704021.792,114670,2.414992626,0,0,
1246,20200527,IC2006,5339.4,5344.6,5346.8,5279.2,5301.4,5290.8,81867,8682078.368,112850,2.414992626,0,0,
1247,20200528,IC2006,5290.8,5293.4,5329.8,5223.6,5282.6,5272.4,99998,10549857.12,119967,2.414992626,0,0,
1248,20200529,IC2006,5272.4,5271.8,5345.6,5257,5318.8,5316.6,86695,9218577.38,114990,2.414992626,0,0,
1249,20200601,IC2006,5316.6,5386,5532,5382,5524.2,5516.2,99266,10877791.44,115257,2.414992626,0,0,
1250,20200602,IC2006,5516.2,5555,5558.8,5495,5523,5518.2,75368,8316970.828,106372,2.414992626,0,0,
1251,20200603,IC2006,5518.2,5535,5569.6,5510.2,5512,5529,79802,8837168.34,108961,2.414992626,0,0,
1252,20200604,IC2006,5529,5534.4,5541,5487.8,5517.4,5519.4,71088,7848134.856,103886,2.414992626,0,0,
1253,20200605,IC2006,5519.4,5530.4,5543.6,5490.6,5541,5529,77173,8518025.504,105537,2.414992626,0,0,
1254,20200608,IC2006,5529,5572,5589,5509,5522.2,5516.6,74515,8259209.968,99260,2.414992626,0,0,
1255,20200609,IC2006,5516.6,5531,5577,5511,5559.2,5554.4,83648,9282819.076,105490,2.414992626,0,0,
1256,20200610,IC2006,5554.4,5563,5571.4,5525.2,5563.4,5560,72094,8004433.22,93978,2.414992626,0,0,
1257,20200611,IC2006,5560,5561.4,5646.6,5515.4,5556.6,5542.6,108083,12055898.48,105909,2.414992626,0,0,
1258,20200612,IC2006,5542.6,5507.2,5614,5480,5578.2,5586.8,98637,10949407.24,88231,2.414992626,0,0,
1259,20200615,IC2006,5586.8,5572.2,5635,5556.2,5557,5573,92420,10335561.53,82801,2.414992626,0,1,
1260,20200616,IC2006,5573,5620,5679.4,5608.4,5678.8,5670.2,81444,9199893.532,68943,2.414992626,0,1,
1261,20200617,IC2006,5670.2,5681,5713.2,5656,5706,5698.8,65172,7408659.532,54532,2.414992626,0,1,
